nombre local;nombre visitante;resultado local;resultado visitante;resultado mas 1,5;resultado mas 2,5;resultado menos 3,5;resultado menos 4,5;resultado mas 0,5 local;resultado mas 0,5 visitante;resultado menos 1,5 local;resultado menos 1,5 visitante;resultado menos 2,5 local;resultado menos 2,5 visitante;resultado handicap +0,5 local;resultado handicap +0,5 visitante;resultado handicap -0,5 local;resultado handicap -0,5 visitante;resultado handicap +1,5 local;resultado handicap +1,5 visitante;resultado handicap -1,5 local;resultado handicap -1,5 visitante;resultado no empate;resultado ambos marcan;porcentaje mas 1,5 en sitio;porcentaje mas 1,5 en general;porcentaje mas 1,5 en ultimos 4 sitio;porcentaje mas 1,5 en ultimos 8 general;porcentaje mas 1,5 media;porcentaje mas 2,5 en sitio;porcentaje mas 2,5 en general;porcentaje mas 2,5 en ultimos 4 sitio;porcentaje mas 2,5 en ultimos 8 general;porcentaje mas 2,5 media;porcentaje menos 3,5 en sitio;porcentaje menos 3,5 en general;porcentaje menos 3,5 en ultimos 4 sitio;porcentaje menos 3,5 en ultimos 8 general;porcentaje menos 3,5 media;porcentaje menos 4,5 en sitio;porcentaje menos 4,5 en general;porcentaje menos 4,5 en ultimos 4 sitio;porcentaje menos 4,5 en ultimos 8 general;porcentaje menos 4,5 media;porcentaje mas 0,5 local en sitio;porcentaje mas 0,5 local en general;porcentaje mas 0,5 local en ultimos 4 sitio;porcentaje mas 0,5 local en ultimos 8 general;porcentaje mas 0,5 local media;porcentaje mas 0,5 visitante en sitio;porcentaje mas 0,5 visitante en general;porcentaje mas 0,5 visitante en ultimos 4 sitio;porcentaje mas 0,5 visitante en ultimos 8 general;porcentaje mas 0,5 visitante media;porcentaje menos 1,5 local en sitio;porcentaje menos 1,5 local en general;porcentaje menos 1,5 local en ultimos 4 sitio;porcentaje menos 1,5 local en ultimos 8 general;porcentaje menos 1,5 local media;porcentaje menos 1,5 visitante en sitio;porcentaje menos 1,5 visitante en general;porcentaje menos 1,5 visitante en ultimos 4 sitio;porcentaje menos 1,5 visitante en ultimos 8 general;porcentaje menos 1,5 visitante media;porcentaje menos 2,5 local en sitio;porcentaje menos 2,5 local en general;porcentaje menos 2,5 local en ultimos 4 sitio;porcentaje menos 2,5 local en ultimos 8 general;porcentaje menos 2,5 local media;porcentaje menos 2,5 visitante en sitio;porcentaje menos 2,5 visitante en general;porcentaje menos 2,5 visitante en ultimos 4 sitio;porcentaje menos 2,5 visitante en ultimos 8 general;porcentaje menos 2,5 visitante media;porcentaje handicap +0,5 local en sitio;porcentaje handicap +0,5 local en general;porcentaje handicap +0,5 local en ultimos 4 sitio;porcentaje handicap +0,5 local en ultimos 8 general;porcentaje handicap +0,5 local media;porcentaje handicap +0,5 visitante en sitio;porcentaje handicap +0,5 visitante en general;porcentaje handicap +0,5 visitante en ultimos 4 sitio;porcentaje handicap +0,5 visitante en ultimos 8 general;porcentaje handicap +0,5 visitante media;porcentaje handicap -0,5 local en sitio;porcentaje handicap -0,5 local en general;porcentaje handicap -0,5 local en ultimos 4 sitio;porcentaje handicap -0,5 local en ultimos 8 general;porcentaje handicap -0,5 local media;porcentaje handicap -0,5 visitante en sitio;porcentaje handicap -0,5 visitante en general;porcentaje handicap -0,5 visitante en ultimos 4 sitio;porcentaje handicap -0,5 visitante en ultimos 8 general;porcentaje handicap -0,5 visitante media;porcentaje handicap +1,5 local en sitio;porcentaje handicap +1,5 local en general;porcentaje handicap +1,5 local en ultimos 4 sitio;porcentaje handicap +1,5 local en ultimos 8 general;porcentaje handicap +1,5 local media;porcentaje handicap +1,5 visitante en sitio;porcentaje handicap +1,5 visitante en general;porcentaje handicap +1,5 visitante en ultimos 4 sitio;porcentaje handicap +1,5 visitante en ultimos 8 general;porcentaje handicap +1,5 visitante media;porcentaje handicap -1,5 local en sitio;porcentaje handicap -1,5 local en general;porcentaje handicap -1,5 local en ultimos 4 sitio;porcentaje handicap -1,5 local en ultimos 8 general;porcentaje handicap -1,5 local media;porcentaje handicap -1,5 visitante en sitio;porcentaje handicap -1,5 visitante en general;porcentaje handicap -1,5 visitante en ultimos 4 sitio;porcentaje handicap -1,5 visitante en ultimos 8 general;porcentaje handicap -1,5 visitante media;porcentaje no empate en sitio;porcentaje no empate en general;porcentaje no empate en ultimos 4 sitio;porcentaje no empate en ultimos 8 general;porcentaje no empate media;porcentaje ambos marcan en sitio;porcentaje ambos marcan en general;porcentaje ambos marcan en ultimos 4 sitio;porcentaje ambos marcan en ultimos 8 general;porcentaje ambos marcan media;proporcion goles local en sitio;proporcion goles local en general;proporcion goles local en ultimos 4 sitio;proporcion goles local en ultimos 8 general;proporcion goles local media;proporcion goles visitante en sitio;proporcion goles visitante en general;proporcion goles visitante en ultimos 4 sitio;proporcion goles visitante en ultimos 8 general;proporcion goles visitante media;proporcion goles ambos en sitio;proporcion goles ambos en general;proporcion goles ambos en ultimos 4 sitio;proporcion goles ambos en ultimos 8 general;proporcion goles ambos media;diferencia puntos en sitio;diferencia puntos en general;diferencia puntos en ultimos 4 sitio;diferencia puntos en ultimos 8 general;diferencia puntos media
HamKam;Lillestrom;2;2;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Molde;Valerenga;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aalesund;Kristiansund;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Haugesund;Sandefjord;1;3;1;1;0;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;1;1;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jerv;Stromsgodset;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Odd;Tromso;2;0;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;1;0;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sarpsborg 08;Viking;0;1;0;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bodo / Glimt;Rosenborg;2;2;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lillestrom;Jerv;4;0;1;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kristiansund;Sarpsborg 08;2;3;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;1;no valido;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
